"title","url","source"
"Монтажник в Череповце","https://www.avito.ru/cherepovets/vakansii/montazhnik_8111090173","Avito"
"Монтажник металлоконструкций вахта в Чамзинке","https://www.avito.ru/chamzinka/vakansii/montazhnik_metallokonstruktsiy_vahta_3180989635","Avito"
"Монтажник металлоконструкций в Санкт-Петербурге","https://www.avito.ru/sankt-peterburg/vakansii/montazhnik_metallokonstruktsiy_8123866703","Avito"
"Монтажник лёгких металлоконструкций в Жуковском","https://www.avito.ru/zhukovskiy/vakansii/montazhnik_legkih_metallokonstruktsiy_8200924073","Avito"
"Монтажник металлоконструкций в Верхнеднепровском","https://www.avito.ru/verhnedneprovskiy/vakansii/montazhnik_metallokonstruktsiy_2303740056","Avito"
"Монтажник металлоконструкций в Березниках","https://www.avito.ru/berezniki/vakansii/montazhnik_metallokonstruktsiy_7712819688","Avito"
"Монтажник металлоконструкций в Волжском","https://www.avito.ru/volgogradskaya_oblast_volzhskiy/vakansii/montazhnik_metallokonstruktsiy_3173703591","Avito"
"Монтажник металлоконструкций в Санкт-Петербурге","https://www.avito.ru/sankt-peterburg/vakansii/montazhnik_metallokonstruktsiy_8114274194","Avito"
"Монтажник мк в Нерюнгри","https://www.avito.ru/neryungri/vakansii/montazhnik_mk_8076738339","Avito"
"Монтажник по сборке металлоконструкции в Москве","https://www.avito.ru/moskva/vakansii/montazhnik_po_sborke_metallokonstruktsii_3549955553","Avito"
"Монтажник металлоконструкций в Липецке","https://www.avito.ru/lipetsk/vakansii/montazhnik_metallokonstruktsiy_8135268169","Avito"
"Монтажник металлоконструкций рк в Старом Осколе","https://www.avito.ru/staryy_oskol/vakansii/montazhnik_metallokonstruktsiy_rk_8301365085","Avito"
"Монтажник металлоконструкций в Донецке","https://www.avito.ru/donetsk/vakansii/montazhnik_metallokonstruktsiy_8202747402","Avito"
"Сварщик монтажник в Балашихе","https://www.avito.ru/balashiha/vakansii/svarschik_montazhnik_7698535392","Avito"
"Монтажник металлоконструкций вахта в Нижнем Одесе","https://www.avito.ru/nizhniy_odes/vakansii/montazhnik_metallokonstruktsiy_vahta_7944123360","Avito"
"Монтажник в Нижневартовске","https://www.avito.ru/nizhnevartovsk/vakansii/montazhnik_7982829236","Avito"
"Монтажник металлоконструкций и оборудования в Твери","https://www.avito.ru/tver/vakansii/montazhnik_metallokonstruktsiy_i_oborudovaniya_2268620045","Avito"
"Слесарь-монтажник по грузоподъемному оборудованию в Санкт-Петербурге","https://www.avito.ru/sankt-peterburg/vakansii/slesar-montazhnik_po_gruzopodemnomu_oborudovaniyu_7938910573","Avito"
"Монтажник металлоконструкций / тт / оборудования в Волхове","https://www.avito.ru/volhov/vakansii/montazhnik_metallokonstruktsiy_tt_oborudovaniya_8179404905","Avito"
"Монтажник металлоконструкций в Перми","https://www.avito.ru/perm/vakansii/montazhnik_metallokonstruktsiy_8116827039","Avito"
